player_name,age,primary_pos,2025_contract_status,team,wrc_plus,total_drs,pa,2025_status
Yainer Diaz,25,C,pre-arb,HOU,116,-7,619,1
Victor Caratini,30,C,guar,HOU,113,3,274,1
José Abreu,37,1B,fa,HOU,0,-2,120,0
Jose Altuve,34,2B,guar,HOU,127,-13,682,1
Jeremy Peña,26,SS,arb,HOU,99,4,650,1
Alex Bregman,30,3B,fa,HOU,117,6,634,1
Chas McCormick,29,OF,arb,HOU,65,-2,267,1
Jake Meyers,28,CF,arb,HOU,85,6,513,1
Kyle Tucker,27,RF,arb,HOU,179,7,339,1
Yordan Alvarez,27,DH,guar,HOU,167,-5,635,1
Maruicio Dubón,29,UTL,arb,HOU,86,6,428,1
Grae Kessinger,26,UTL,pre-arb,HOU,-37,0,25,0
Jon Singleton,32,1B,pre-arb,HOU,104,-8,405,0
Cal Raleigh,27,C,arb,SEA,118,17,628,1
Seby Zavala,30,C,fa,SEA,46,-2,43,0
Ty France,29,1B,fa,SEA,93,-8,535,1
Jorge Polanco,30,2B,fa,SEA,93,-1,469,1
Luis Urías,27,3B,fa,SEA,108,0,109,1
Josh Rojas,30,3B,fa,SEA,92,8,476,1
J.P. Crawford,29,SS,guar,SEA,90,9,451,1
Dylan Moore,31,UTL,guar,SEA,106,-3,441,1
Julio Rodríguez,23,CF,guar,SEA,116,3,613,1
Mitch Haniger,33,RF,guar,SEA,85,-1,423,0
Luke Raley,29,OF,pre-arb,SEA,129,4,455,1
Dominic Canzone,26,OF,pre-arb,SEA,88,2,188,0
Mitch Garver,33,DH,guar,SEA,89,-5,430,1
Jonah Heim,29,C,arb,TEX,72,5,491,1
Andrew Knizner,29,C,fa,TEX,8,-3,93,0
Ezequiel Duran,25,UTL,pre-arb,TEX,75,2,285,1
Jared Walsh,30,1B,fa,TEX,88,-1,60,0
Marcus Semien,33,2B,guar,TEX,101,10,718,1
Corey Seager,30,SS,guar,TEX,142,4,533,1
Josh Jung,26,3B,pre-arb,TEX,104,-3,188,1
Adolis García,31,RF,guar,TEX,94,-5,637,1
Leody Taveras,25,CF,arb,TEX,84,-10,529,1
Evan Carter,21,OF,pre-arb,TEX,81,4,162,0
Travis Jankowski,33,OF,fa,TEX,50,8,207,1
Wyatt Langford,22,LF,pre-arb,TEX,111,14,557,1
Josh Smith,26,IF,pre-arb,TEX,112,-1,592,1
Shea Langeliers,26,C,pre-arb,ATH,109,-10,534,1
Kyle McCann,26,C,pre-arb,ATH,102,-6,157,0
Ryan Noda,28,1B,pre-arb,ATH,44,1,111,0
Zack Gelof,24,2B,pre-arb,ATH,82,-1,547,1
J.D. Davis,31,IF,fa,ATH,86,-2,157,0
Nick Allen,25,SS,pre-arb,ATH,33,4,105,1
Seth Brown,31,OF,arb,ATH,91,-6,400,1
Lawrence Butler,23,RF,pre-arb,ATH,130,-1,451,1
Esteury Ruiz,25,OF,pre-arb,ATH,85,-1,65,0
JJ Bleday,26,CF,pre-arb,ATH,120,-19,642,1
Brent Rooker,29,DH,arb,ATH,164,-1,614,1
Darell Hernaiz,22,IF,pre-arb,ATH,50,-5,135,0
Abraham Toro,27,IF,fa,ATH,87,-2,364,0
Logan O'Hoppe,24,C,pre-arb,LAA,102,1,522,1
Matt Thaiss,29,C,arb,LAA,84,-2,186,1
Nolan Schanuel,22,1B,pre-arb,LAA,105,1,607,1
Luis Rengifo,27,IF,arb,LAA,118,-4,304,1
Zach Neto,23,SS,pre-arb,LAA,115,11,602,1
Anthony Rendon,34,3B,guar,LAA,69,2,238,0
Mike Trout,32,CF,guar,LAA,140,-1,126,1
Taylor Ward,30,LF,arb,LAA,112,0,663,1
Mickey Moniak,26,CF,arb,LAA,80,-4,418,1
Aaron Hicks,34,OF,fa,LAA,21,-2,63,0
Jo Adell,25,RF,arb,LAA,91,6,451,1
Brandon Drury,31,IF,fa,LAA,35,-4,360,0
Miguel Sanó,31,IF,fa,LAA,76,1,95,0